"age","job","marital","education","default","housing","loan","contact","label"
"60-","services","married","secondary","no","yes","no","unknown","no"
"30-","admin.","married","secondary","no","yes","no","unknown","no"
"40-","blue-collar","divorced","unknown","no","yes","no","unknown","no"
"60-","blue-collar","married","secondary","no","no","no","unknown","no"
"30-","services","single","secondary","no","yes","no","unknown","yes"
"40-","blue-collar","married","primary","no","yes","no","unknown","no"
"40-","self-employed","married","secondary","no","yes","no","unknown","no"
"50-","technician","married","unknown","no","yes","no","unknown","no"
"30-","technician","married","secondary","no","yes","no","unknown","yes"
"40-","admin.","single","unknown","no","yes","no","unknown","no"
"30-","unemployed","divorced","secondary","no","yes","no","unknown","no"
"50-","services","divorced","secondary","no","yes","no","unknown","no"
"40-","blue-collar","married","primary","no","yes","no","unknown","no"
"40-","blue-collar","single","secondary","no","yes","no","unknown","no"
"50-","technician","single","secondary","no","yes","no","unknown","no"
"50-","services","married","unknown","no","no","no","unknown","no"
"40-","admin.","single","secondary","no","yes","no","unknown","no"
"40-","admin.","single","secondary","no","yes","no","unknown","no"
"40-","management","married","tertiary","no","yes","no","unknown","no"
"40-","services","divorced","secondary","no","yes","no","unknown","no"
"40-","management","single","tertiary","no","yes","no","unknown","no"
"50-","management","married","tertiary","no","yes","no","unknown","no"
"40-","technician","married","secondary","no","yes","yes","unknown","yes"
"40-","admin.","married","secondary","no","no","no","unknown","no"
"40-","admin.","married","secondary","no","yes","yes","unknown","no"
"60-","retired","divorced","primary","no","yes","no","unknown","no"
"60-","retired","married","primary","no","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"60-","technician","married","secondary","no","no","no","unknown","no"
"30-","self-employed","single","tertiary","no","no","no","unknown","no"
"50-","management","married","tertiary","no","yes","no","unknown","no"
"40-","technician","divorced","secondary","no","yes","yes","unknown","no"
"30-","student","single","tertiary","no","yes","no","unknown","no"
"50-","self-employed","married","tertiary","no","yes","no","unknown","no"
"60-","retired","married","secondary","no","yes","no","unknown","no"
"50-","technician","divorced","secondary","no","yes","no","unknown","no"
"40-","services","single","secondary","no","yes","no","unknown","no"
"40-","admin.","single","secondary","no","yes","yes","unknown","yes"
"40-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","services","divorced","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","yes"
"40-","management","single","tertiary","yes","yes","no","unknown","no"
"40-","blue-collar","married","secondary","no","yes","no","unknown","no"
"60-","services","divorced","primary","no","yes","yes","unknown","yes"
"30-","entrepreneur","married","primary","no","yes","yes","unknown","no"
"40-","admin.","single","secondary","no","yes","no","unknown","yes"
"50-","self-employed","married","primary","no","yes","no","unknown","no"
"60-","blue-collar","married","unknown","no","yes","no","unknown","no"
"40-","admin.","single","secondary","no","yes","no","unknown","no"
"40-","self-employed","married","tertiary","no","yes","no","unknown","no"
"30-","management","single","tertiary","no","yes","yes","unknown","no"
"50-","blue-collar","married","secondary","yes","yes","no","unknown","no"
"40-","admin.","married","secondary","no","yes","no","unknown","no"
"50-","services","married","secondary","no","yes","no","unknown","no"
"30-","services","single","secondary","no","yes","no","unknown","no"
"60-","retired","married","secondary","no","yes","no","unknown","no"
"50-","admin.","divorced","secondary","no","yes","no","unknown","no"
"40-","unemployed","single","secondary","no","yes","no","unknown","no"
"40-","admin.","single","primary","no","yes","no","unknown","no"
"50-","services","married","secondary","no","yes","no","unknown","no"
"50-","technician","married","secondary","no","yes","no","unknown","no"
"40-","technician","married","tertiary","no","yes","yes","unknown","no"
"60-","blue-collar","divorced","primary","no","yes","no","unknown","no"
"50-","admin.","divorced","secondary","no","yes","no","unknown","no"
"30-","technician","single","tertiary","no","yes","yes","unknown","no"
"60-","management","married","primary","no","yes","no","unknown","no"
"50-","technician","married","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","no"
"50-","management","married","tertiary","no","yes","no","unknown","no"
"60-","blue-collar","married","primary","no","yes","no","unknown","no"
"40-","admin.","married","secondary","no","no","no","unknown","no"
"50-","services","single","primary","no","yes","no","unknown","no"
"50-","technician","married","tertiary","no","yes","no","unknown","no"
"40-","self-employed","married","primary","no","no","no","unknown","no"
"50-","admin.","married","primary","no","yes","no","unknown","no"
"50-","blue-collar","single","secondary","no","yes","yes","unknown","no"
"60-","technician","married","unknown","no","yes","no","unknown","no"
"50-","admin.","married","tertiary","no","yes","no","unknown","no"
"30-","management","married","tertiary","no","yes","yes","unknown","yes"
"60-","services","married","primary","no","yes","no","unknown","no"
"40-","blue-collar","married","primary","no","no","no","unknown","no"
"30-","services","married","primary","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","no"
"50-","blue-collar","single","tertiary","no","yes","no","unknown","yes"
"30-","technician","single","secondary","no","yes","no","unknown","no"
"40-","technician","single","tertiary","no","yes","no","unknown","yes"
"40-","blue-collar","married","primary","no","no","no","unknown","yes"
"60-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","blue-collar","divorced","primary","no","yes","no","unknown","no"
"40-","management","divorced","tertiary","no","yes","no","unknown","yes"
"60-","management","married","primary","yes","yes","yes","unknown","no"
"40-","blue-collar","single","primary","no","yes","no","unknown","yes"
"30-","technician","single","secondary","no","no","no","unknown","no"
"40-","blue-collar","single","secondary","no","yes","yes","unknown","no"
"30-","student","single","secondary","no","yes","no","unknown","no"
"60-","unemployed","married","secondary","no","yes","no","unknown","no"
"40-","blue-collar","single","secondary","no","yes","no","unknown","no"
"60-","technician","married","unknown","no","yes","no","unknown","no"
"50-","technician","married","unknown","no","yes","no","unknown","no"
"40-","blue-collar","single","primary","no","yes","no","unknown","no"
"50-","management","married","secondary","no","yes","no","unknown","no"
"30-","blue-collar","single","primary","no","yes","no","unknown","no"
"50-","services","married","secondary","no","yes","no","unknown","yes"
"50-","management","married","tertiary","no","no","no","unknown","no"
"40-","services","married","secondary","no","yes","no","unknown","no"
"60-","retired","married","primary","no","yes","no","unknown","no"
"40-","admin.","married","secondary","no","yes","yes","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"50-","admin.","married","secondary","no","yes","no","unknown","yes"
"40-","entrepreneur","married","unknown","no","yes","no","unknown","no"
"40-","blue-collar","married","secondary","no","yes","no","unknown","no"
"30-","student","single","secondary","no","yes","no","unknown","no"
"40-","technician","single","secondary","no","yes","no","unknown","no"
"40-","management","married","tertiary","no","no","no","unknown","no"
"40-","technician","married","secondary","no","yes","no","unknown","no"
"40-","blue-collar","divorced","secondary","no","yes","no","unknown","no"
"50-","admin.","divorced","secondary","no","yes","yes","unknown","yes"
"50-","services","divorced","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","yes","unknown","no"
"40-","entrepreneur","married","secondary","no","yes","yes","unknown","no"
"60-","blue-collar","married","primary","no","no","no","unknown","no"
"30-","admin.","divorced","secondary","no","yes","no","unknown","yes"
"50-","management","single","tertiary","no","yes","no","unknown","yes"
"30-","management","single","tertiary","no","yes","no","unknown","no"
"30-","blue-collar","married","primary","no","yes","no","unknown","no"
"40-","services","single","secondary","no","yes","no","unknown","no"
"50-","management","divorced","tertiary","no","yes","no","unknown","yes"
"40-","management","single","tertiary","no","yes","no","unknown","no"
"30-","entrepreneur","married","tertiary","no","yes","yes","unknown","no"
"50-","blue-collar","married","secondary","no","yes","yes","unknown","no"
"30-","blue-collar","single","secondary","no","no","no","unknown","no"
"60-","self-employed","divorced","secondary","no","yes","no","unknown","no"
"60-","entrepreneur","married","unknown","no","yes","no","unknown","no"
"60-","entrepreneur","married","primary","no","yes","no","unknown","no"
"50-","blue-collar","single","primary","no","yes","no","unknown","no"
"40-","management","married","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","yes"
"40-","blue-collar","married","secondary","no","yes","yes","unknown","no"
"60-","blue-collar","divorced","primary","no","yes","no","unknown","no"
"60-","management","married","tertiary","no","no","no","unknown","no"
"40-","admin.","single","secondary","no","yes","no","unknown","no"
"30-","services","married","secondary","no","yes","no","unknown","no"
"40-","blue-collar","divorced","secondary","no","yes","no","unknown","no"
"40-","unemployed","single","tertiary","no","yes","no","unknown","no"
"40-","blue-collar","married","secondary","no","yes","no","unknown","no"
"50-","management","divorced","tertiary","no","yes","no","unknown","no"
"40-","blue-collar","married","primary","no","yes","no","unknown","no"
"40-","services","married","secondary","no","yes","no","unknown","no"
"40-","blue-collar","single","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","unemployed","single","secondary","no","yes","no","unknown","yes"
"40-","blue-collar","married","secondary","no","yes","yes","unknown","no"
"50-","technician","single","tertiary","no","yes","no","unknown","no"
"40-","management","married","tertiary","no","yes","yes","unknown","no"
"40-","unemployed","single","secondary","no","no","no","unknown","no"
"60-","blue-collar","married","secondary","no","no","no","unknown","no"
"50-","management","divorced","tertiary","no","yes","no","unknown","no"
"40-","management","married","tertiary","no","yes","no","unknown","no"
"50-","management","married","primary","no","yes","no","unknown","no"
"40-","management","married","tertiary","yes","no","yes","unknown","no"
"30-","blue-collar","single","secondary","no","yes","yes","unknown","no"
"40-","management","married","tertiary","no","yes","no","unknown","no"
"40-","services","married","secondary","no","yes","no","unknown","no"
"40-","management","married","tertiary","no","yes","yes","unknown","no"
"60-","blue-collar","single","primary","no","yes","no","unknown","no"
"40-","blue-collar","divorced","primary","no","no","no","unknown","no"
"40-","blue-collar","single","secondary","no","yes","no","unknown","yes"
"40-","technician","single","tertiary","no","yes","no","unknown","yes"
"50-","blue-collar","divorced","primary","no","yes","no","unknown","no"
"40-","services","married","secondary","no","yes","yes","unknown","no"
"50-","technician","married","secondary","no","yes","no","unknown","yes"
"50-","blue-collar","single","secondary","no","yes","no","unknown","yes"
"50-","technician","divorced","tertiary","no","yes","no","unknown","no"
"40-","blue-collar","single","secondary","no","yes","no","unknown","no"
"40-","admin.","married","secondary","no","yes","no","unknown","yes"
"40-","blue-collar","divorced","secondary","no","yes","no","unknown","no"
"30-","blue-collar","single","secondary","no","yes","no","unknown","yes"
"60-","admin.","married","secondary","no","yes","no","unknown","no"
"30-","management","single","tertiary","no","yes","no","unknown","no"
"30-","blue-collar","married","primary","yes","yes","no","unknown","no"
"30-","admin.","divorced","secondary","no","no","no","unknown","no"
"40-","admin.","single","secondary","no","yes","yes","unknown","no"
"40-","blue-collar","married","secondary","yes","yes","no","unknown","yes"
"40-","blue-collar","married","secondary","no","yes","yes","unknown","no"
"60-","technician","married","primary","no","yes","no","unknown","yes"
"30-","services","single","secondary","no","yes","no","unknown","no"
"40-","blue-collar","single","secondary","no","yes","no","unknown","no"
"60-","services","married","secondary","no","yes","yes","unknown","no"
"30-","blue-collar","single","secondary","no","yes","no","unknown","yes"
"40-","blue-collar","married","secondary","no","yes","no","unknown","yes"
"30-","blue-collar","married","tertiary","no","no","no","unknown","no"
"30-","technician","single","secondary","no","yes","no","unknown","no"
"30-","services","married","secondary","no","yes","no","unknown","no"
"30-","blue-collar","single","secondary","no","yes","no","unknown","yes"
"50-","blue-collar","single","secondary","no","yes","no","unknown","no"
"40-","blue-collar","divorced","primary","no","yes","no","unknown","yes"
"30-","technician","single","secondary","no","yes","no","unknown","no"
"40-","services","married","secondary","no","yes","no","unknown","no"
"40-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","management","single","tertiary","no","yes","no","unknown","no"
"30-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","services","married","secondary","no","yes","yes","unknown","no"
"50-","services","married","secondary","no","yes","no","unknown","no"
"30-","student","single","secondary","no","no","no","unknown","no"
"30-","blue-collar","married","primary","no","yes","no","unknown","no"
"30-","student","single","secondary","no","yes","no","unknown","no"
"40-","services","single","secondary","yes","yes","no","unknown","no"
"30-","admin.","single","secondary","no","yes","no","unknown","no"
"60-","blue-collar","married","secondary","no","no","yes","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"60-","management","married","tertiary","no","yes","no","unknown","no"
"30-","blue-collar","single","secondary","no","yes","no","unknown","no"
"40-","blue-collar","married","primary","no","yes","no","unknown","no"
"40-","blue-collar","married","secondary","no","no","no","unknown","no"
"50-","blue-collar","single","primary","no","yes","no","unknown","no"
"60-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","management","married","tertiary","no","no","no","unknown","no"
"40-","blue-collar","married","secondary","no","yes","yes","unknown","no"
"50-","blue-collar","single","primary","no","no","no","unknown","no"
"40-","self-employed","married","secondary","no","yes","no","unknown","no"
"40-","management","single","tertiary","no","yes","no","unknown","no"
"30-","self-employed","single","secondary","no","yes","no","unknown","no"
"40-","blue-collar","single","primary","no","yes","no","unknown","no"
"60-","management","married","tertiary","no","no","no","unknown","no"
"30-","blue-collar","married","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"40-","blue-collar","divorced","secondary","no","yes","no","unknown","no"
"50-","admin.","married","secondary","yes","no","no","unknown","no"
"50-","management","divorced","tertiary","yes","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","yes"
"40-","unemployed","divorced","secondary","no","yes","no","unknown","no"
"30-","blue-collar","single","secondary","no","yes","no","unknown","no"
"40-","management","married","tertiary","no","yes","no","unknown","no"
"50-","technician","single","tertiary","no","yes","no","unknown","no"
"60-","management","married","primary","no","no","no","unknown","no"
"40-","blue-collar","married","secondary","no","yes","no","unknown","no"
"60-","unemployed","married","secondary","no","yes","no","unknown","no"
"40-","management","single","tertiary","no","no","no","unknown","yes"
"40-","blue-collar","single","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"40-","entrepreneur","single","tertiary","yes","yes","no","unknown","no"
"40-","technician","single","secondary","no","yes","no","unknown","no"
"50-","services","married","secondary","no","yes","no","unknown","no"
"40-","technician","married","secondary","no","yes","no","unknown","no"
"30-","services","single","secondary","no","yes","no","unknown","no"
"40-","blue-collar","single","primary","no","yes","no","unknown","no"
"60-","blue-collar","married","secondary","no","yes","no","unknown","no"
"60-","blue-collar","married","primary","no","yes","no","unknown","no"
"40-","technician","single","secondary","no","yes","no","unknown","no"
"60-","retired","married","primary","no","yes","no","unknown","no"
"50-","technician","divorced","secondary","no","yes","no","unknown","no"
"40-","blue-collar","single","primary","no","yes","no","unknown","no"
"30-","admin.","married","primary","no","yes","no","unknown","no"
"40-","blue-collar","married","primary","no","yes","yes","unknown","no"
"30-","management","divorced","secondary","no","no","no","unknown","no"
"40-","blue-collar","married","secondary","no","yes","yes","unknown","no"
"40-","management","single","tertiary","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","management","married","tertiary","no","yes","no","unknown","no"
"40-","management","married","tertiary","no","yes","no","unknown","no"
"60-","entrepreneur","married","tertiary","no","yes","no","unknown","no"
"40-","blue-collar","single","secondary","no","yes","no","unknown","no"
"50-","management","single","tertiary","no","yes","no","unknown","no"
"40-","blue-collar","divorced","secondary","no","yes","no","unknown","no"
"30-","admin.","single","secondary","no","yes","yes","unknown","no"
"40-","blue-collar","single","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"40-","blue-collar","married","primary","no","no","no","unknown","yes"
"30-","services","single","secondary","no","yes","no","unknown","no"
"40-","management","divorced","secondary","no","yes","no","unknown","yes"
"30-","technician","single","secondary","no","yes","no","unknown","no"
"30-","admin.","single","secondary","no","yes","no","unknown","no"
"40-","management","married","tertiary","no","yes","no","unknown","yes"
"30-","blue-collar","single","secondary","no","yes","no","unknown","no"
"30-","services","single","secondary","yes","yes","no","unknown","yes"
"60-","retired","divorced","tertiary","no","no","no","unknown","yes"
"30-","blue-collar","single","secondary","no","yes","no","unknown","no"
"30-","admin.","single","secondary","no","yes","no","unknown","no"
"40-","blue-collar","divorced","secondary","no","yes","no","unknown","yes"
"30-","technician","single","tertiary","no","yes","no","unknown","no"
"50-","management","married","primary","no","no","no","unknown","no"
"30-","admin.","single","secondary","no","yes","no","unknown","no"
"30-","services","single","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","no"
"50-","retired","married","primary","no","yes","no","unknown","no"
"50-","blue-collar","married","unknown","no","yes","no","unknown","no"
"60-","retired","married","secondary","no","no","no","unknown","no"
"50-","admin.","married","secondary","no","yes","no","unknown","no"
"30-","entrepreneur","single","primary","no","yes","no","unknown","yes"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"60-","blue-collar","married","primary","no","yes","yes","unknown","yes"
"50-","management","married","tertiary","no","yes","no","unknown","yes"
"50-","entrepreneur","divorced","tertiary","no","yes","no","unknown","yes"
"50-","entrepreneur","single","tertiary","no","yes","no","unknown","no"
"60-","management","married","unknown","no","yes","no","unknown","yes"
"50-","blue-collar","married","secondary","no","yes","yes","unknown","no"
"30-","blue-collar","married","secondary","no","yes","no","unknown","no"
"60-","retired","married","tertiary","no","no","no","unknown","no"
"40-","technician","single","tertiary","no","yes","no","unknown","no"
"40-","entrepreneur","divorced","secondary","no","yes","yes","unknown","yes"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"30-","technician","single","secondary","no","no","no","unknown","no"
"60-","technician","married","secondary","no","yes","no","unknown","no"
"60-","entrepreneur","married","unknown","no","yes","no","unknown","no"
"60-","technician","married","secondary","no","yes","no","unknown","no"
"50-","admin.","married","secondary","no","yes","no","unknown","no"
"40-","admin.","divorced","secondary","no","yes","yes","unknown","no"
"40-","blue-collar","married","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"30-","management","married","tertiary","no","yes","no","unknown","no"
"30-","blue-collar","married","secondary","no","yes","no","unknown","no"
"50-","technician","married","secondary","no","yes","yes","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","yes"
"60-","blue-collar","married","primary","no","yes","no","unknown","no"
"60-","blue-collar","divorced","primary","no","yes","no","unknown","no"
"50-","services","married","secondary","no","yes","no","unknown","no"
"50-","management","married","tertiary","no","yes","no","unknown","no"
"40-","blue-collar","divorced","primary","no","yes","no","unknown","yes"
"60-","retired","divorced","primary","no","yes","no","unknown","no"
"50-","technician","married","secondary","no","yes","no","unknown","yes"
"60-","admin.","married","secondary","no","yes","no","unknown","no"
"50-","blue-collar","divorced","primary","no","yes","yes","unknown","no"
"50-","admin.","single","secondary","no","yes","no","unknown","no"
"60-","retired","married","secondary","no","no","no","unknown","no"
"50-","entrepreneur","married","unknown","no","yes","no","unknown","no"
"50-","admin.","married","secondary","no","yes","no","unknown","no"
"60-","blue-collar","married","unknown","no","yes","no","unknown","no"
"60-","housemaid","married","secondary","no","yes","no","unknown","yes"
"30-","blue-collar","single","primary","no","yes","yes","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"50-","management","married","tertiary","no","yes","no","unknown","no"
"60-","technician","divorced","primary","no","yes","no","unknown","yes"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"50-","blue-collar","divorced","primary","no","yes","no","unknown","yes"
"50-","blue-collar","divorced","secondary","no","yes","yes","unknown","no"
"40-","management","married","tertiary","no","yes","no","unknown","no"
"50-","blue-collar","single","primary","no","yes","no","unknown","yes"
"60-","management","married","tertiary","no","yes","no","unknown","no"
"50-","management","married","primary","no","yes","no","unknown","no"
"40-","management","divorced","tertiary","no","yes","yes","unknown","yes"
"50-","technician","married","secondary","no","yes","no","unknown","no"
"60-","technician","married","secondary","no","yes","no","unknown","no"
"50-","management","married","tertiary","no","no","no","unknown","no"
"60-","retired","married","secondary","no","yes","yes","unknown","yes"
"60-","retired","married","secondary","no","yes","yes","unknown","no"
"30-","unknown","single","unknown","no","yes","no","unknown","no"
"60-","management","divorced","tertiary","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","yes"
"50-","blue-collar","married","secondary","no","yes","no","unknown","yes"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"30-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","admin.","married","secondary","no","yes","no","unknown","yes"
"50-","blue-collar","married","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","yes"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"60-","retired","married","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"50-","blue-collar","single","unknown","no","yes","no","unknown","no"
"60-","admin.","divorced","primary","no","yes","yes","unknown","no"
"50-","technician","married","secondary","no","yes","no","unknown","no"
"60-","retired","married","primary","no","yes","no","unknown","yes"
"50-","services","married","primary","no","yes","no","unknown","no"
"50-","self-employed","divorced","secondary","no","yes","yes","unknown","no"
"60-","retired","married","tertiary","no","yes","yes","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"40-","technician","single","unknown","no","yes","no","unknown","yes"
"60-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","management","single","tertiary","no","yes","no","unknown","no"
"40-","entrepreneur","married","secondary","no","yes","no","unknown","no"
"40-","admin.","single","secondary","no","yes","no","unknown","no"
"60-","technician","married","tertiary","no","no","no","unknown","yes"
"50-","entrepreneur","single","tertiary","no","yes","no","unknown","no"
"50-","entrepreneur","married","primary","no","yes","no","unknown","no"
"50-","services","married","secondary","no","no","no","unknown","no"
"50-","unemployed","married","primary","no","yes","no","unknown","no"
"60-","management","divorced","secondary","no","yes","no","unknown","no"
"60-","management","married","primary","no","yes","no","unknown","no"
"60-","blue-collar","married","secondary","no","yes","no","unknown","yes"
"60-","services","married","secondary","no","yes","no","unknown","no"
"60-","unemployed","married","secondary","no","yes","no","unknown","no"
"40-","technician","single","unknown","no","no","no","unknown","no"
"30-","management","single","tertiary","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","self-employed","single","tertiary","no","yes","no","unknown","no"
"60-","blue-collar","married","primary","no","yes","no","unknown","no"
"30-","technician","single","secondary","no","no","no","unknown","no"
"50-","services","married","secondary","no","yes","no","unknown","no"
"50-","retired","married","secondary","no","yes","no","unknown","no"
"30-","admin.","married","secondary","no","yes","yes","unknown","no"
"50-","management","divorced","tertiary","no","yes","no","unknown","no"
"60-","blue-collar","married","primary","no","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","no","unknown","no"
"50-","technician","married","secondary","no","yes","no","unknown","no"
"40-","admin.","married","secondary","no","yes","no","unknown","no"
"50-","technician","married","secondary","no","yes","no","unknown","no"
"50-","admin.","married","secondary","no","yes","no","unknown","no"
"50-","blue-collar","divorced","secondary","no","yes","no","unknown","yes"
"30-","blue-collar","single","secondary","no","yes","yes","unknown","no"
"50-","retired","married","primary","no","no","yes","unknown","no"
"40-","management","single","tertiary","no","yes","no","unknown","no"
"50-","services","married","secondary","no","yes","no","unknown","no"
"60-","management","married","tertiary","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","yes"
"50-","admin.","married","secondary","no","yes","no","unknown","no"
"50-","admin.","married","secondary","no","yes","yes","unknown","yes"
"60-","blue-collar","divorced","primary","no","yes","no","unknown","yes"
